NODE_NM,위도,경도
양림휴먼시아2차,35.13549167,126.9175389
중앙교회,35.27379722,126.8302611
평촌,35.26528056,126.8385778
수북면사무소,35.30105,126.9278944
응기,35.251575,126.8910278
진원초교,35.26205556,126.8222
상촌(임곡),35.232666,126.728894
전통공예문화학교,35.24231389,126.8976528
주남,35.10246944,126.9393972
창평초교,35.23971667,127.018625
전남교육연수원,35.18233056,127.0132556
덕촌,35.26271944,126.8410194
초동,35.25151389,126.86305
동명고,35.15504167,126.7391917
문흥라인아파트,35.18616111,126.9236389
남동,35.17953056,126.6821
동원촌,35.221225,126.8283944
반촌,35.191625,126.8513417
산동교,35.18946389,126.8577111
남부대,35.20683056,126.8428639
첨단1동행정복지센터,35.21938611,126.8420111
금남로4가역,35.15144167,126.9135556
진원면사무소,35.27271944,126.8333972
살레시오고입구,35.21515833,126.9001528
진원동초교,35.25933333,126.8637278
과기원,35.22461944,126.8410111
풍기산업,35.23508611,126.8669778
현진기업,35.23438056,126.8603833
첨단삼성전자,35.22570278,126.8527694
경제고용진흥원,35.20901389,126.8144417
첨단삼성전자,35.22604444,126.8529278
신창호반아파트,35.19899167,126.8383972
신완마을,35.20090278,126.8100556
하남3지구모아엘가,35.182663,126.794791
생룡,35.22909,126.898809
연제현대아파트,35.19788333,126.8726361
경신여고,35.17277222,126.8885861
내남입구,35.0961037,126.9406891
능주사거리,34.99201111,126.9579833
문흥금호아파트,35.19078889,126.9266222
동산초교,35.14933333,126.9364417
봉정,35.16348056,126.6935639
방림삼거리,35.133475,126.9180722
북광주수협,35.16508333,126.9017917
신암마을,35.12177778,126.8844528
신암마을,35.12146111,126.8844444
신양파크호텔,35.15336944,126.9416444
신양파크호텔,35.15299167,126.9423778
신완마을,35.20146944,126.8101139
신우아파트,35.13889167,126.8956611
신우아파트,35.13871667,126.8954611
신운,35.0257,127.0219861
신가주공아파트,35.18426,126.832755
보건대입구,35.19321111,126.8492889
보건대입구,35.19322778,126.8493361
신창동우체국,35.18908056,126.8370611
신창동우체국,35.18918611,126.8369083
신창부영1차아파트,35.19054444,126.8384194
신창부영1차아파트,35.19081944,126.8383972
신창중,35.19364167,126.8375889
신창중,35.193925,126.8374972
신가사거리,35.17978333,126.8311556
신가사거리,35.18003056,126.8309972
신창초교,35.19754722,126.8396722
신창초교,35.19838889,126.8403278
신촌 아랫길(4수원지),35.17946667,126.9610889
신촌(본량),35.18706667,126.682325
신촌 아랫길(4수원지),35.17943056,126.9610278
가톨릭대평생교육원,35.14913889,126.8706806
가톨릭대평생교육원,35.14935556,126.8707806
전남대공과대학,35.17879167,126.9119306
전남대공과대학,35.17841944,126.9121611
신흥맨션,35.17648611,126.9338167
신흥맨션,35.17656667,126.9336944
양산초교입구,35.20853056,126.8738167
양산초교입구,35.20852222,126.87365
상무쌍용금호아파트,35.15073611,126.8472694
첨단초교후문,35.22078889,126.839325
서일초교,35.211668,126.89763
쌍촌역,35.151625,126.8684222
쌍촌역,35.15135556,126.8676222
아리랑고개,35.15013056,126.8072944
아리랑고개,35.14996944,126.80715
광주은행북부지점,35.15613056,126.9038444
기아차중문,35.161557,126.87154
안양사,35.15415833,126.9882361
안양사,35.15429444,126.9882806
무등야구장,35.17004444,126.8868917
무등야구장,35.16955833,126.8892806
양곡,35.20135556,126.6828222
양동시장역(남),35.153625,126.9005333
양동시장역(북),35.15404722,126.9010667
양동시장역(북),35.15420833,126.9009917
양동시장역(남),35.15371944,126.9003333
광주은행북부지점,35.15617222,126.9036222
양일로입구,35.20237778,126.9020889
용봉우미아파트,35.17785278,126.9007167
매곡대화아파트,35.19215,126.8921944
동산초교옆,35.14889722,126.9368389
중앙여고,35.17589444,126.88555
앰코코리아,35.229775,126.8518972
앰코코리아,35.22965,126.8517389
일가정양립지원본부,35.151778,126.841748
일가정양립지원본부,35.151455,126.840556
역청공장,35.03275278,126.9473556
연계삼거리,35.22593611,126.7357556
연동 동길,35.20775278,126.7781889
연동 서길,35.20448889,126.7724611
연동삼거리,35.20632778,126.7746528
연동삼거리,35.20636944,126.7747583
연양리1구,35.04193889,126.9627944
연양리2구,35.03904167,126.9625111
연진회미술원,35.132004,126.938669
연진회미술원,35.132235,126.938232
양산호수공원,35.20491111,126.8736806
용연동,35.094001,126.962321
용연정수장,35.09226111,126.9584222
농협공판장,35.15236111,126.8996861
호남삼육고,35.13015,126.8947611
비시동,35.21349444,126.7569583
덕흥삼거리,35.16744555,126.8380112
도림,35.16655,126.7009639
삼도초교,35.16281667,126.7003083
동명고입구,35.154302,126.740269
서봉마을,35.15160833,126.7503694
샛터마을,35.15102222,126.7566861
호남대,35.14916111,126.7682583
선암,35.15060833,126.7728056
임동교,35.229539,126.733335
연동리,35.26448333,126.9586139
안청,35.21673889,126.805575
송강정,35.25206389,126.9554528
첨단대우아파트,35.220006,126.831417
동산교차로(남),35.124331,126.852703
서광중,35.13688889,126.9040889
서광중,35.13680833,126.9044167
석산고,35.13628056,126.9081778
석산고,35.13603333,126.9085361
수피아여고,35.13499722,126.9104444
수피아여고,35.13504444,126.91065
기독병원,35.13688333,126.9136333
기독병원,35.13689444,126.9139222
학강초교,35.13773056,126.9167306
학강초교,35.13824722,126.9176611
계림사거리,35.162425,126.9201333
서방사거리육교,35.16373056,126.9196917
교육대,35.16375556,126.9233417
풍향삼거리,35.162475,126.9277528
교육대,35.16397778,126.9231972
서방사거리육교,35.16369444,126.9195528
계림사거리,35.16229444,126.920025
광주공원,35.14983889,126.9096361
천교,35.152471,126.906487
양동복개쇼핑센터,35.15391667,126.9044389
양동시장역(천변),35.15591944,126.9019222
발산교(남),35.158585,126.894939
임동오거리,35.159689,126.897544
북성중,35.15851389,126.9016861
북성중,35.15780833,126.9040111
요한병원,35.159414,126.901252
임동오거리,35.159795,126.898076
양동교,35.158754,126.896654
양동복개쇼핑센터,35.15429167,126.9035917
천교,35.15183889,126.9058056
광주공원,35.14842222,126.909825
양림교,35.14038333,126.9177306
용산교(동구),35.12075556,126.9313639
향교,35.14556,126.909608
향교,35.14498056,126.9090333
한국은행,35.15824722,126.8483389
한국은행,35.15795833,126.8482167
한국국토정보공사,35.156425,126.8483611
한국국토정보공사,35.15586667,126.8482472
두암지구입구,35.15901389,126.9310778
두암지구입구,35.159175,126.9308194
운암시장,35.174383,126.882369
풍향시장,35.16180278,126.9292389
풍향삼거리,35.16271389,126.9276611
운암시장,35.17446111,126.8826139
현대자동차,35.16109722,126.8850778
현대자동차,35.16129167,126.8856972
농협운천지점,35.14840556,126.848225
농협운천지점,35.14871944,126.8481861
전남공고입구,35.19521111,126.8469306
전남공고입구,35.19520556,126.8467778
신창용수마을,35.19868056,126.8439056
서영대,35.17571111,126.8705611
동천마을1단지,35.17228611,126.860475
풍영정입구,35.17771944,126.8366583
동림I.C입구,35.173816,126.852454
양산호수공원,35.20454444,126.8735194
대촌마을입구,35.23678056,126.8574444
대촌마을입구,35.23707778,126.8576278
연화공장,35.03484444,126.9608361
염주맨션,35.14315278,126.8799833
염주사거리(동),35.14271,126.87581
염주사거리(동),35.142866,126.876126
염주사거리(서),35.14332778,126.8743139
염주주공,35.13998611,126.8760444
염주주공,35.139875,126.876275
대촌마을,35.23569722,126.8545917
대반초교,35.17473056,126.8099722
영천초교,35.17207778,126.8116278
예림,35.16957222,126.6950972
예술의거리입구,35.15104444,126.9163111
예술의거리입구,35.15133056,126.9168917
천운장,35.03282222,127.0572333
천운장,35.03293889,127.0575611
오룡,35.25033056,126.7428306
오치1동행정복지센터,35.19125833,126.9049806
오치주공,35.187117,126.903262
오치주공,35.187258,126.902988
오치초교,35.18578333,126.8985028
오치초교,35.18624444,126.8981833
옥산,35.19108056,126.6742806
와산,35.24087778,126.7303194
외등,35.18409722,126.7532361
요한병원,35.160643,126.902509
지산입구,35.23349385,126.8892843
용주초교,35.18118611,126.8984056
용주초교,35.18149444,126.8982444
용봉동성당,35.17958333,126.8953528
용봉동성당,35.17941111,126.8952611
용봉주공,35.18726389,126.8965667
용봉한화꿈에그린,35.18114722,126.904225
용봉한화꿈에그린,35.18148889,126.9042333
용봉중,35.18696944,126.9096806
용봉중,35.18715278,126.9093306
용봉초교,35.16995278,126.8997
용봉초교,35.16974722,126.8994417
삼원맨션,35.18081944,126.9022278
용산교(동구),35.12071111,126.9312194
용생,35.0343,127.0133889
용생,35.03429444,127.0135806
용전,35.238618,126.896128
풍암우미아파트,35.12653056,126.8824222
운암우미아파트,35.18391667,126.8712389
운암우미아파트,35.18323056,126.8714222
오정초교입구,35.18391667,126.9116111
오정초교입구,35.18373889,126.9119528
유창허니문입구,35.1791,126.8978861
신가우미아파트,35.18503611,126.8357417
신가우미아파트,35.18517778,126.8361083
풍암우미아파트,35.12658889,126.8825389
상수도광산사업소,35.15639722,126.8100194
상수도광산사업소,35.15646667,126.8098806
서작,35.15623333,126.8132222
우산리버힐아파트,35.157775,126.8065556
우산리버힐아파트,35.15783333,126.8068056
우산동중흥S클래스,35.15200833,126.8098056
우산동중흥S클래스,35.15195833,126.8101167
광주자동화설비공업고,35.15180556,126.8141472
광주자동화설비공업고,35.15174722,126.8140778
우진아파트,35.15047778,126.9058889
우진아파트,35.15007778,126.9056917
우치공원,35.225379,126.900644
우치공원,35.22552,126.900908
금구중,35.17615556,126.8155944
금구중,35.17602778,126.8153444
목련마을,35.17922222,126.8199639
목련마을,35.17936389,126.8209806
운남삼성아파트,35.17453056,126.8175806
운남삼성아파트,35.17422778,126.8171889
금구초교,35.177925,126.8149861
동천마을1단지,35.172153,126.860016
서영대,35.17506111,126.8706056
매방골,35.15156111,126.7766972
안청,35.21681111,126.8055611
중앙일보,35.190363,126.804703
첨단부영아파트,35.21135833,126.8458167
명상의집,35.215907,126.90221
월계중,35.21858889,126.8324083
북구차량등록민원실,35.17258333,126.9121444
두암초교,35.16827222,126.9326722
봉선라인아파트,35.12552778,126.9091778
신창용수마을,35.19868056,126.8438611
광주은행양산동지점,35.21101944,126.8756389
양지초교,35.208325,126.878839
동아제약,35.20664167,126.8754472
동아제약,35.20662778,126.8755917
양지초교,35.208153,126.878966
광주은행양산동지점,35.21106111,126.8755778
자연과학고,35.18676667,126.9165056
문흥금호아파트,35.19092222,126.9267222
대인광장(서),35.15636389,126.910825
풍암사거리(동),35.12243333,126.8614
풍암사거리(동),35.12187778,126.86105
동광주진입로,35.18273611,126.9309944
동광주진입로,35.18276111,126.9313139
농산물공판장,35.18469444,126.9322306
농산물공판장,35.18468333,126.9324833
문흥지구입구(남),35.18831667,126.9337639
남구청,35.131575,126.902565
한국수자원공사,35.15246944,126.8482167
한국수자원공사,35.1522,126.8482917
사직공원앞,35.14454,126.914496
농성중흥파크,35.15623056,126.8921944
농성중흥파크,35.15654,126.892633
사직공원앞,35.144134,126.91387
단사공원,35.148256,126.939872
단사공원,35.148143,126.939854
지산유원지입구,35.149165,126.944466
매일시장입구,35.14828056,126.9317944
매일시장입구,35.14823333,126.9317722
지산2동행정복지센터,35.14766944,126.9356028
삼원맨션,35.18091111,126.9021417
진흥고,35.19522222,126.8414028
양산호반2차,35.21244444,126.8812917
양산호반2차,35.21286111,126.8814222
동림교,35.17513889,126.8640667
운암초교,35.17958889,126.8719861
운암초교,35.17955,126.8721306
발산교(북),35.15941,126.895079
화훼단지,35.1167,126.855043
동천동행정복지센터,35.17010833,126.8637694
동천동행정복지센터,35.17006944,126.8635778
비엔날레전시관,35.18224167,126.8905306
유덕동주민센터,35.16459167,126.8529472
유덕동주민센터,35.164475,126.8529472
유덕치안센터,35.165825,126.8546
유덕치안센터,35.16573611,126.8546833
도촌,35.07768611,126.8366667
대촌동행정복지센터,35.08130278,126.8344472
이장2동,35.08826944,126.8578278
임동주공아파트,35.16838889,126.8859111
송암공단,35.11035556,126.8811722
