학교명,주소,위도,경도
우미마리아몬테소리유치원,광주광역시 북구 북문대로 197(동림동),35.1857158,126.869961
유진유치원,광주광역시 북구 평교로 42-1(문흥동.대주맨션),35.1817662,126.9263435
이화유치원,광주광역시 북구 동운로201번길 54(운암동.이화유치원),35.1746414,126.8742758
장백유치원,광주광역시 북구 우치로241번길 43(오치동),35.1861933,126.9026777
중흥유치원,광주광역시 북구 향토문화로2번길 8(중흥동),35.1681504,126.9173101
풍향유치원,광주광역시 북구 동문대로10번길 39(풍향동),35.1654586,126.9219209
해바라기유치원,광주광역시 북구 안산로 38-6.1층(오치동. 해바라기유치원),35.190348,126.902477
해성유치원,광주광역시 북구 동문대로134번길 36(두암동. 해성유치원),35.1737944,126.9281967
현대유치원,광주광역시 북구 태봉로 23임동주교좌성당,35.161296,126.902513
금정유치원,광주광역시 북구 연양로34번길 10(연제동),35.2057582,126.8710584
해솔유치원,광주광역시 북구 두방길 91해솔유치원,35.1656318,126.9308866
한신유치원,광주광역시 북구 일곡로 117(일곡동),35.2092678,126.8991198
보화유치원,광주광역시 북구 설죽로389번길 70(삼각동.삼각동 그린타운 아파트),35.1954585,126.898207
한마음유치원,광주광역시 북구 설죽로389번길 43(삼각동. 한마음유치원),35.1956342,126.8962171
아이세상유치원,광주광역시 북구 북문대로242번길 43(동림동.동림푸른마을주공3단지아파트),35.1892087,126.865238
이화동산유치원,광주광역시 북구 하서로 393-24(양산동),35.2106413,126.880425
청담유치원,광주광역시 북구 빛고을대로 522(연제동. 청담유치원),35.2014475,126.8636426
시민유치원,광주광역시 북구 양일로 76-1. 시민유치원 (양산동),35.1974023,126.8731815
샤론유치원,광주광역시 북구 설죽로471번길 22(삼각동),35.2008581,126.8968525
동심유치원,광주광역시 북구 부남길 26(문흥동. 동심유치원),35.188071,126.9269267
참사랑유치원,광주광역시 북구 능안로12번길 38. 참사랑유치원 (문흥동),35.18596,126.9192885
코리아유치원,광주광역시 북구 매곡로69번길 15. 코리아유치원 (매곡동),35.1903233,126.8921736
반딧불이숲유치원,광주광역시 북구 오문로 255(문흥동),35.1899189,126.9326493
인양유치원,광주광역시 북구 상촌로 29(양산동),35.2120592,126.8779904
이화정원유치원,광주광역시 북구 일곡로 45-9. 이화정원유치원 (일곡동),35.207939,126.8911941
문예동산유치원,광주광역시 북구 금호로108번길 18(운암동. 문예동산 유치원),35.1773771,126.883431
남양유치원,광주광역시 북구 서강로 150. 남양유치원 (운암동. 남양휴튼),35.1786313,126.8773558
민족사관유치원,광주광역시 북구 반룡로 53-1(용봉동),35.1787337,126.9041909
한솔유치원,광주광역시 북구 양산택지로79번길 24-2(본촌동. 한솔유치원),35.2140094,126.8794111
프랜즈유치원,광주광역시 북구 용주로46번길 15-2(용봉동),35.1822966,126.9038621
양산리라유치원,광주광역시 북구 양산택지로34번길 12(양산동),35.2088766,126.8809281
소나무유치원,광주광역시 북구 양산택지로 60-12(양산동),35.2109737,126.8818559
아이베스트유치원,광주광역시 북구 하백로29번길 15(매곡동. 베스트어린이집),35.1903305,126.8891177
애플B유치원,광주광역시 동구 화산로 318-7. 애플B유치원 (용산동),35.1175848,126.9308565
