,어린이집명,주소,위도,경도
78,노아어린이집,"전라북도 전주시 완산구 안행2길 26 104동 104호(효자동1가, 대림)",35.8025844,127.1286418
79,농촌진흥청어린이집,전라북도 전주시 덕진구 농생명로 300-1 (중동) 농촌진흥청,35.835522,127.0648238
80,늘푸른동산어린이집,"전라북도 전주시 완산구 따박골로 11 2동 110호(중화산동2가, 거성그린맨션)",35.810103,127.1242267
81,늘푸른어린이집,"전라북도 전주시 덕진구 천마산로 33 207동 104호(송천동2가, 송천주공2차아파트)",35.864882,127.126057
82,늘픔어린이집,전라북도 전주시 완산구 어은로 33-3 (중화산동2가),35.8174041,127.1262834
83,늘행복한어린이집,"전라북도 전주시 덕진구 한배미로 33 505동 107호(인후동1가, 아중마을부영5차아파트)",35.8249157,127.1692207
84,다온어린이집,전라북도 전주시 덕진구 숲정이2길 14 (진북동),35.8296515,127.1308187
85,다정어린이집,"전라북도 전주시 완산구 삼천천변3길 20 101동 105호(삼천동1가, 호반리젠시빌)",35.7973625,127.1116158
86,다지가정어린이집,"전라북도 전주시 덕진구 가리내로 550 107동 107호(송천동1가, 한양아파트)",35.8607994,127.1130862
87,대자인병원어린이집,전라북도 전주시 덕진구 우아동3가 도당산1길 21-1,35.845417,127.1539168
88,대창가정어린이집,"전라북도 전주시 완산구 새터로 100 104동 104호(서신동, 대우대창)",35.8348645,127.1184282
89,더블파크 어린이집,"전라북도 전주시 덕진구 호성동2가 호성로 170 312/102 (호성동2가, 진흥더블파크)",35.8660771,127.1456385
90,더샵키즈어린이집,전라북도 전주시 덕진구 송천동2가 세병로 175 1005동 104호(에코시티더샵2차),35.8773402,127.1331054
91,더자람어린이집,전라북도 전주시 덕진구 아중1길 9-5,35.8289314,127.1705008
92,더조은어린이집,전라북도 전주시 덕진구 솔내5길 18 (송천동1가),35.8568369,127.122431
93,더큰빛어린이집,"전라북도 전주시 완산구 서곡로 20-1 관리동(효자동3가, 서곡두산)",35.8307749,127.098144
94,덕진파랑새어린이집,전라북도 전주시 덕진구 원반월안길 19-4,35.8716198,127.0604388
95,도담도담어린이집,"전라북도 전주시 완산구 강변로 120 101동 107호(효자동1가, 한강)",35.8018064,127.1133099
96,도담아이어린이집,"전라북도 전주시 완산구 삼천천변1길 45 201동 103호(삼천동1가, 흥건)",35.7943862,127.1158865
97,도담어린이집,"전라북도 전주시 완산구 화산천변로 50 관리사무소내 (중화산동2가, 현대에코르)",35.8233595,127.1169479
98,도래샘어린이집,"전라북도 전주시 완산구 새터로 100 101동 103호(서신동, 대우대창)",35.8348303,127.1184753
99,도토리어린이집,"전라북도 전주시 덕진구 오공로 71 106동 104호(중동, 호반베르디움아파트)",35.8355499,127.1417709
100,도화어린이집,"전라북도 전주시 완산구 용리로 162 104동 101호(삼천동1가, 개나리아파트)",35.797085,127.127698
101,동그라미어린이집,전라북도 전주시 덕진구 인후동1가 석소로 55 858-2번지,35.8320656,127.1658528
102,동심어린이집,전라북도 전주시 덕진구 원고랑1길 13 (고랑동),35.8734419,127.0859723
103,동아어린이집,"전라북도 전주시 완산구 새터로 95 106동 101호(서신동, 동아한일)",35.8362568,127.1177841
104,동현어린이집,전라북도 전주시 덕진구 명주1길 31-5,35.8413712,127.1466706
105,동화나라어린이집,"전라북도 전주시 덕진구 기린대로 1018-7 103동 106호(여의동, 공영)",35.8686313,127.074857
106,동화세상 어린이집,전라북도 전주시 완산구 양지3길 33-21,35.7899067,127.1203111
107,동화숲어린이집,전라북도 전주시 덕진구 견훤왕궁로 277 (금암동),35.842594,127.1441038
108,두산푸른솔어린이집,"전라북도 전주시 완산구 양지1길 16-3 101동 119호(평화동2가, 두산푸른솔)",35.7908356,127.1185319
109,둥근해어린이집,"전라북도 전주시 완산구 삼천천변1길 32 104동 108호(삼천동1가, 남양)",35.7945295,127.1137278
110,드림키즈어린이집,전라북도 전주시 덕진구 송천동2가 천마산로 113 송천동 한라비발디1단지아파트 관리동,35.8658269,127.1331953
111,드림킨더어린이집,"전라북도 전주시 완산구 새터로 60 201동 102호(서신동, 광진장미)",35.834914,127.113142
112,디모데어린이집,"전라북도 전주시 완산구 새터로 95 101동 103호(서신동, 동아한일)",35.8362568,127.1177841
113,똑똑똑어린이집,"전라북도 전주시 완산구 거마평로 125 103동 105호(효자동1가, 상산타운)",35.8032785,127.1151986
114,뛰어라올챙이어린이집,"전라북도 전주시 완산구 양지2길 10 109동 104호(평화동2가, 동신)",35.79203930000001,127.1230773
115,라미안-(i)어린이집,"전라북도 전주시 덕진구 두간6길 7 102동 101호(송천동1가, 케이제이라미안)",35.8626154,127.1261839
116,라파엘어린이집,"전라북도 전주시 덕진구 태진로 101 120동101호(진북동,우성아파트)",35.8308846,127.1341146
117,랜디어린이집,전라북도 전주시 덕진구 기지로 120 (중동) 한국국토정보공사,35.8380803,127.0652417
118,럭키해맑은어린이집,"전라북도 전주시 덕진구 동부대로 611 5동 104호(우아동3가, 럭키우아)",35.8539324,127.1527514
119,레마어린이집,전라북도 전주시 덕진구 덕진동2가 가리내6길 20-6,35.8451807,127.1096176
