지역,상호,타입,주소,위도,경도
경상남도,현동주유소 (주)유테크 창원지점,주유소,경남 창원시 마산합포구 현동1길 1,35.1483483,128.5570902
경상남도,반동주유소,주유소,경남 창원시 마산합포구 구산면 해양관광로 1442,35.0882188,128.5840039
경상남도,삼진제일주유소,주유소,경남 창원시 마산합포구 진전면 삼진의거대로 130,35.1056284,128.4358502
경상남도,지산주유소,주유소,경남 창원시 마산합포구 진북면 삼진의거대로 473,35.1154172,128.4696127
경상남도,진동주유소,주유소,경남 창원시 마산합포구 진동면 삼진의거대로 768,35.1240042,128.4972032
경상남도,명당주유소,주유소,경남 창원시 의창구 북면 천주로 754,35.3211379,128.6024868
경상남도,행복주유소,주유소,경남 창원시 마산회원구  팔용로 38,35.2329309,128.5872892
경상남도,(주)삼진에너지,주유소,경남 창원시 마산합포구 진동면 삼진의거대로 614,35.114306,128.4855815
경상남도,진동농협주유소,주유소,경남 창원시 마산합포구 진동면 삼진의거대로 658,35.116567,128.4893414
경상남도,부성주유소,주유소,경남 창원시 마산회원구 금강로 287 (구암동),35.2527878,128.5954554
경상남도,SK화랑주유소,주유소,경남 창원시 마산합포구 진북면 삼진의거대로 424,35.1133015,128.4656568
경상남도,(주)천자봉주유소,주유소,경남 창원시 진해구 웅천로 97(서중동),35.1132721,128.7409179
경상남도,남해주유소,주유소,경남 창원시 성산구 외동반림로 3,35.2208111,128.6740278
경상남도,대광주유소,주유소,경남 창원시 진해구 태평로 40 (태평동),35.1454999,128.6637235
경상남도,화양주유소,주유소,경남 창원시 의창구 동읍 백월로 539-1,35.3055467,128.6546466
경상남도,동면주유소,주유소,경남 창원시 의창구 동읍 동읍로 347,35.3009251,128.6649143
경상남도,(주)경상석유사파정주유소,주유소,경남 창원시 성산구  창이대로663번길 1 (사파동),35.225628,128.6990349
경상남도,주남주유소,주유소,경남 창원시 의창구 동읍 동읍로 733,35.3279441,128.6680667
경상남도,유산주유소,주유소,경남 창원시 마산합포구 구산로 784,35.1321784,128.5675896
경상남도,굴앞셀프,주유소,경남 창원시 성산구 창원대로 1310 (불모산동),35.1916328,128.7364694
경상남도,신촌주유소,주유소,경남 창원시 의창구 북면 천주로 980,35.3403503,128.6010375
경상남도,일동주유소,주유소,경남 창원시 의창구 대산면 대산북로 539,35.3679491,128.6965809
경상남도,전촌주유소,주유소,경남 창원시 의창구 동읍로 1264,35.3129409,128.6682618
경상남도,회원주유소,주유소,경남 창원시 마산회원구 회원동33길 13,35.2223005,128.5745184
경상남도,엔씨파크주유소,주유소,경남 창원시 마산회원구 봉양로 110,35.2192943,128.5985137
경상남도,서마산IC주유소,주유소,경남 창원시 마산회원구 삼호로 248,35.2318064,128.5677224
경상남도,현대오일뱅크㈜직영 중리현대셀프주유소,주유소,경남 창원시 마산회원구 경남대로 824,35.2236898,128.5046883
경상남도,CJ대한통운㈜ 창일주유소,주유소,경남 창원시 마산회원구 봉양로 164,35.2175859,128.6041778
경상남도,태광주유소,주유소,경남 창원시 마산회원구 북성로 200 (회원동),35.2189014,128.5692429
경상남도,미소셀프주유소,주유소,경남 창원시 마산회원구 내서읍 경남대로 570,35.2310517,128.5045003
경상남도,무학산주유소,주유소,경남 창원시 마산합포구 무학로 503,35.2128957,128.5621088
경상남도,GS칼텍스 관문주유소,주유소,경남 창원시 성산구  공단로 22 (신촌동),35.2006221,128.6289944
경상남도,양지주유소,주유소,경남 창원시 의창구 도계로 92,35.2568194,128.6395111
경상남도,대원주유소,주유소,경상남도 창원시 의창구 대원로 23 (대원동),35.2305544,128.6528187
경상남도,상하주유소,주유소,경남 창원시 의창구 읍성로 116 (소답동),35.262674,128.6283393
경상남도,용마주유소,주유소,경남 창원시 진해구 남의로 94 (두동),35.1148978,128.7916209
경상남도,세강주유소,주유소,경남 창원시 의창구 읍성로 115 (소답동),35.2626743,128.6287987
경상남도,농산물주유소,주유소,경남 창원시 마산회원구 유통단지로 33,35.2554315,128.5119544
경상남도,현대오일뱅크㈜직영 마산현대주유소,주유소,경남 창원시 마산회원구 3.15대로 816,35.2206349,128.5795296
경상남도,상북주유소,주유소,경남 창원시 마산합포구 진북면 진북산업로 327,35.1440538,128.4813617
경상남도,참조은셀프주유소,주유소,경남 창원시 성산구 해원로 410  (성주동),35.1917047,128.7065265
경상남도,진해주유소,주유소,경남 창원시 진해구 천자로 361 (풍호동),35.1324801,128.7085589
경상남도,SK에너지(주)자은셀프주유소,주유소,경남 창원시 진해구 진해대로 965 (자은동),35.1502618,128.7089687
경상남도,소계주유소,주유소,경남 창원시 의창구 소계로 73,35.2559843,128.5999976
경상남도,신방주유소,주유소,경남 창원시 의창구 동읍 동읍로 110-1,35.2858033,128.6807762
경상남도,광려천주유소,주유소,경남 창원시 마산회원구 내서읍 경남대로 828,35.2240964,128.5048973
경상남도,현대오일뱅크㈜직영 오일탑주유소,주유소,경남 창원시 의창구 우곡로 219 (명서동),35.2391262,128.6484036
경상남도,현대오일뱅크㈜직영 녹원주유소,주유소,경남 창원시 진해구 용원로 91,35.0987928,128.8192068
경상남도,용담주유소,주유소,경남 창원시 마산회원구 함마대로 2452,35.2633654,128.4907158
경상남도,신우에너지(주) 광진주유소,주유소,경남 창원시 의창구 대산면 진산대로 296,35.3276938,128.7139263
경상남도,내트럭(주)부산신항사업소,주유소,경남 창원시 진해구 신항북로 320,35.1330251,128.7100381
경상남도,동영주유소,주유소,경남 창원시 마산회원구 함마대로 2910,35.2435209,128.528147
경상남도,대우주유소,주유소,경남 창원시 성산구 공단로 828 (천선동),35.1715822,128.7155249
경상남도,일광주유소,주유소,경상남도 창원시 마산합포구 용마로 7 (산호동),35.2152948,128.5771426
경상남도,(주)율선행복드림,주유소,경남 창원시 성산구 공단로 820 (천선동),35.1715822,128.7155249
경상남도,SK에너지(주)해운주유소,주유소,경남 창원시 마산합포구 해안대로 42,35.1807661,128.5633433
경상남도,한국타이어팔용점 파워주유소,주유소,경남 창원시 의창구 무역로581번길 56,35.232703,128.6356183
경상남도,SK에너지(주)삼계셀프주유소,주유소,경남 창원시 마산회원구 내서읍 경남대로 941,35.2340285,128.5041722
경상남도,협성주유소,주유소,경남 창원시 진해구 월남로 150,35.1208615,128.7792483
경상남도,SK에너지(주)도계주유소,주유소,경남 창원시 의창구 도계로4번길 50,35.2557451,128.6360586
경상남도,북창원주유소,주유소,경남 창원시 의창구 북면 천주로 823,35.3268384,128.601934
경상남도,마금주유소,주유소,경남 창원시 의창구 북면 천주로 1097,35.3483578,128.6076342
경상남도,경동에너지주유소,주유소,경남 창원시 마산회원구 팔용로 86 (합성동),35.2369456,128.5893649
경상남도,장전주유소,주유소,경남 창원시 진해구 진해대로 1108,35.1581479,128.6988018
경상남도,진해현대주유소,주유소,경남 창원시 진해구 충장로 537,35.1412836,128.7015537
경상남도,대한주유소,주유소,경남 창원시 의창구 남산로9번길 16,35.2606785,128.6126565
경상남도,신월주유소,주유소,경남 창원시 의창구 상남로230번길 1 (신월동),35.2319213,128.6902813
경상남도,태광주유소,주유소,경남 창원시 성산구 창곡로 54 (신촌동),35.2110497,128.6462659
경상남도,석동주유소,주유소,경남 창원시 진해구 진해대로 717 (석동),35.162215,128.7018743
