학교명,주소,위도,경도
내서초등학교병설유치원,경상남도 창원시 마산회원구 북성로 480. 내서초등학교 (두척동. 내서초등학교),35.2381135,128.5455213
덕산초등학교병설유치원,경상남도 창원시 진해구 덕산로46번길 15(자은동),35.1457667,128.705059
대원초등학교병설유치원,경상남도 창원시 의창구 두대로55번길 23(대원동. 대원초등학교),35.2340125,128.6513464
도천초등학교병설유치원,경상남도 창원시 진해구 충장로 10(도천동. 도천초등학교),35.15255,128.6539317
노벨유치원,경상남도 창원시 의창구 우곡로71번길 18(명서동),35.2464277,128.641103
동부초등학교병설유치원,경상남도 창원시 진해구 석동로 27. 동부초등학교병설유치원 (석동),35.1556338,128.7017604
무학초등학교병설유치원,경상남도 창원시 마산합포구 자산동8길 6(자산동. 무학초등학교),35.2035979,128.5675217
반동초등학교병설유치원,경상남도 창원시 마산합포구 구산면 해양관광로 1460-14(구산면),35.0877125,128.5843272
도계초등학교병설유치원,경상남도 창원시 의창구 하남천동길 10(도계동. 도계초등학교),35.2592957,128.639503
봉덕초등학교병설유치원,경상남도 창원시 마산회원구 봉덕1길 14(봉암동. 봉덕초등학교)봉덕초등학교 병설유치원,35.2221518,128.5945742
명서초등학교병설유치원,경상남도 창원시 의창구 명서로 21(명서동),35.2500161,128.6433443
북성초등학교병설유치원,경상남도 창원시 마산회원구 석전북1길 3(석전동. 북성초등학교),35.2317331,128.5699673
봉강초등학교병설유치원,경상남도 창원시 의창구 동읍 동읍로 1131-3(동읍.봉강초등학교),35.350797,128.6552481
산호초등학교병설유치원,경상남도 창원시 마산합포구 회원동북로 53(산호동. 산호초등학교),35.2193741,128.5793257
삼계초등학교병설유치원,경상남도 창원시 마산회원구 내서읍 삼계로 36(내서읍. 삼계초등학교),35.2323338,128.5000496
사화초등학교병설유치원,경상남도 창원시 의창구 반계로80번길 7(팔용동. 사화초등학교),35.2521703,128.6164071
상남초등학교병설유치원,경상남도 창원시 마산합포구 합포서13길 20. 상남초등학교병설유치원 (상남동. 마산상남초등학교),35.2124304,128.5771039
상북초등학교병설유치원,경상남도 창원시 의창구 지귀로60번길 13-13(봉곡동),35.2469044,128.6532816
석전초등학교병설유치원,경상남도 창원시 마산회원구 석전동로 8(석전동. 석전초등학교),35.2322234,128.576208
다은유치원,경상남도 창원시 성산구 가음로57번길 16-19. 다은유치원 (남양동),35.2075789,128.7038983
성호초등학교병설유치원,경상남도 창원시 마산합포구 성호동4길 21(성호동.성호초등학교),35.2087641,128.5714657
소답초등학교병설유치원,경상남도 창원시 의창구 의창대로317번길 41소답초등학교 (소답동),35.2651536,128.6288915
양덕초등학교병설유치원,경상남도 창원시 마산회원구 양덕동12길 86. 양덕1동42번지 (양덕동. 양덕초등학교),35.2334559,128.5881301
신방초등학교병설유치원,경상남도 창원시 의창구 동읍 동읍로 121-11(동읍. 신방초등학교),35.2870345,128.6781202
창원신월초등학교병설유치원,경상남도 창원시 의창구 신월로72번길 12(신월동. 창원신월초등학교),35.2258476,128.6932316
안민초등학교병설유치원,경상남도 창원시 성산구 안민로79번길 6. 안민초등학교 (안민동),35.1871108,128.6878489
완월초등학교병설유치원,경상남도 창원시 마산합포구 고운로 201(완월동. 완월초등학교),35.2001538,128.5631056
양곡초등학교병설유치원,경상남도 창원시 성산구 양곡길 102. 양곡초등학교 (신촌동. 양곡초등학교),35.2020992,128.626794
온천초등학교병설유치원,경상남도 창원시 의창구 북면 신리길30번길 17온천초등학교병설유치원,35.3490814,128.6054864
용마초등학교병설유치원,경상남도 창원시 마산합포구 산호남로 50.(산호동. 용마초등학교),35.215458,128.5845754
외동초등학교병설유치원,경상남도 창원시 성산구 토월로43번길 14(상남동. 외동초등학교),35.2163721,128.6813594
우산초등학교병설유치원,경상남도 창원시 마산합포구 진동면 미더덕로 382. 우산초등학교 (진동면),35.1049413,128.4790049
월성초등학교병설유치원,경상남도 창원시 마산합포구 완월남1길 17. 월성초등학교병설유치원(완월동. 월성초등학교),35.1955988,128.5603282
중리초등학교병설유치원,경상남도 창원시 마산회원구 내서읍 호계안길 22(내서읍. 중리초등학교),35.2555631,128.5201081
월영초등학교병설유치원,경상남도 창원시 마산합포구 반월북1길 41(장군동1가. 월영초등학교병설유치원),35.1913322,128.5625275
용지초등학교병설유치원,경상남도 창원시 성산구 원이대로538번길 24(중앙동),35.2292478,128.6718521
월포초등학교병설유치원,경상남도 창원시 마산합포구 월영북15길 35(대내동. 월포초등학교),35.1827391,128.5575788
웅동초등학교병설유치원,경상남도 창원시 진해구 마천로 29(마천동. 웅동초등학교),35.1266388,128.7829203
마산중앙초등학교병설유치원,경상남도 창원시 마산회원구 팔용로 280(구암동. 마산중앙초등학교),35.2484544,128.6025728
진동초등학교병설유치원,경상남도 창원시 마산합포구 진동면 삼진의거대로 661-22(진동면. 진동초등학교),35.1186425,128.4901152
우암초등학교병설유치원,경상남도 창원시 의창구 대산면 우암로 35(대산면.우암초등학교),35.334141,128.730614
웅천초등학교병설유치원,경상남도 창원시 진해구 웅천동로 33. 웅천초등학교 병설유치원 (남문동. 웅천초등학교),35.1044033,128.7555894
진전초등학교병설유치원,경상남도 창원시 마산합포구 진전면 팔의사로 727(진전면) 727,35.1102363,128.415113
팔룡초등학교병설유치원,경상남도 창원시 마산회원구 학교단지로 31(합성동.팔용초등학교),35.2421901,128.5939671
하북초등학교병설유치원,경상남도 창원시 마산합포구 진북면 지산5길 36(진북면.하북초등학교),35.1161065,128.4696443
유목초등학교병설유치원,경상남도 창원시 성산구 반송로29번길 15(반지동. 유목초등학교),35.2440393,128.6631228
제황초등학교병설유치원,경상남도 창원시 진해구 제황로 32(제황산동. 제황초등학교),35.1481897,128.6696525
일동초등학교병설유치원,경상남도 창원시 의창구 대산면 대산북로 461(대산면. 일동초등학교),35.368525,128.6879782
자여초등학교병설유치원,경상남도 창원시 의창구 동읍 자여로 135(동읍. 자여초등학교),35.2720089,128.7057782
합성초등학교병설유치원,경상남도 창원시 마산회원구 합성북16길 75(합성동. 합성초등학교),35.2418715,128.5819638
자은초등학교병설유치원,경상남도 창원시 진해구 자은로88번길 41(자은동. 자은초등학교),35.1491788,128.7115124
해군유치원,경상남도 창원시 진해구 충장로 2(현동),35.1527827,128.6518896
합포초등학교병설유치원,경상남도 창원시 마산합포구 허당로 73(산호동. 합포초등학교),35.2123194,128.5842699
창원초등학교병설유치원,경상남도 창원시 의창구 읍성로 5-1(서상동.창원초등학교),35.2657375,128.619111
진해중앙초등학교병설유치원,경상남도 창원시 진해구 태백서로14번길 23(태백동. 중앙초등학교),35.1547723,128.6752629
창원상남초등학교병설유치원,경상남도 창원시 성산구 토월로 140(상남동. 창원상남초등학교),35.2215499,128.6894675
창원한별유치원,경상남도 창원시 의창구 봉곡로35번길 3창원한별유치원,35.2484832,128.6620394
현동초등학교병설유치원,경상남도 창원시 마산합포구 현동6길 12(현동),35.1473544,128.556802
풍호초등학교병설유치원,경상남도 창원시 진해구 풍호로 80(자은동. 풍호초등학교),35.1402297,128.7120795
장복초등학교병설유치원,경상남도 창원시 진해구 진해대로 728번길 21(석동.장복초등학교),35.157858,128.695151
장천초등학교병설유치원,경상남도 창원시 진해구 충장로 719장천초등학교병설유치원(장천동. 장천초등학교),35.1263596,128.7072607
토월유치원,경상남도 창원시 성산구 비음로4번길 33-11토월유치원 (사파동),35.2274309,128.6996198
평산초등학교병설유치원,경상남도 창원시 의창구 사화로104번길 17(팔용동. 평산초등학교),35.2507321,128.6168214
회원초등학교병설유치원,경상남도 창원시 마산회원구 회원남로 51(회원동) 회원초등학교,35.2198372,128.5667852
하천초등학교병설유치원,경상남도 창원시 의창구 북면 하천로 145(북면.하천초등학교),35.3696842,128.6041305
광려초등학교병설유치원,경상남도 창원시 마산회원구 내서읍 삼계1길 47(내서읍. 광려초등학교),35.2284544,128.5032369
호계초등학교병설유치원,경상남도 창원시 마산회원구 내서읍 광려천북로 182(내서읍. 호계초등학교),35.2657009,128.5223298
화양초등학교병설유치원,경상남도 창원시 의창구 동읍 백월로 524(동읍. 화양초등학교),35.305393,128.6522888
명도초등학교병설유치원,경상남도 창원시 의창구 도계두리길 233(명곡동),35.2557589,128.643693
명곡초등학교병설유치원,경상남도 창원시 의창구 우곡로159번길 22-11(명서동. 명곡초등학교),35.2435932,128.6449329
동산초등학교병설유치원,경상남도 창원시 성산구 단정로 126(상남동)동산초등학교,35.2140712,128.6902599
중동초등학교병설유치원,경상남도 창원시 의창구 의창대로238번길 14(서상동. 중동초등학교),35.2598701,128.6231261
사파초등학교병설유치원,경상남도 창원시 성산구 원이대로773번길 27(사파동) 사파초등학교,35.2193185,128.6972552
의창초등학교병설유치원,경상남도 창원시 의창구 중동로 49(중동),35.2550279,128.6273054
곰내유치원,경상남도 창원시 진해구 웅천중로 80(성내동),35.113424,128.7499345
삼정자초등학교병설유치원,경상남도 창원시 성산구 외리로34번길 8(삼정자동)삼정자초등학교,35.2006842,128.709453
창원진달래유치원,경상남도 창원시 의창구 북면 동전무동길26번길 19(북면),35.3178123,128.5983918
용호유치원,경상남도 창원시 의창구 용호로 29(용호동),35.2331473,128.6767028
가람유치원,경상남도 창원시 의창구 반계로68번길 7(팔용동),35.251273,128.6151769
신비하나름유치원,경상남도 창원시 성산구 반송로 105(반림동),35.2387819,128.6689378
숲속나라유치원,경상남도 창원시 진해구 자은로28번길 3-1(자은동),35.1496552,128.7055579
꽃누리별누리유치원,경상남도 창원시 의창구 도계로95번길 6-17(도계동),35.2562679,128.6411969
대자유치원,경상남도 창원시 마산합포구 문신길 214. 대자유치원 (추산동),35.2062366,128.5720212
다나유치원,경상남도 창원시 성산구 원이대로 774. 다나유치원 (상남동. 성원아파트),35.218669,128.6922333
우성예닮유치원,경상남도 창원시 진해구 진해대로901번길 33(자은동),35.1495099,128.7105294
국제예술유치원,경상남도 창원시 성산구 동산로 115(상남동. 대동아파트),35.2187846,128.6866875
새싹유치원,경상남도 창원시 마산회원구 합성서1길 94(합성동),35.2406344,128.5835518
아이뜰유치원,경상남도 창원시 성산구 대암로 256(대방동. 대방그린빌아파트),35.2050262,128.7107569
도솔유치원,경상남도 창원시 성산구 원이대로 774. 유치원동 (상남동. 성원아파트),35.218669,128.6922333
성심유치원,경상남도 창원시 진해구 중원동로 64(중앙동),35.1501193,128.6623035
동성아이별꽃유치원,경상남도 창원시 성산구 창이대로 737(사파동. 사파동성아파트),35.219156,128.7035237
동화유치원,경상남도 창원시 성산구 정동로162번길 31(남산동. 대우아파트),35.2041279,128.6930655
대광유치원,경상남도 창원시 진해구 진해대로 303(태백동),35.1721013,128.6663485
하늘빛사관유치원,경상남도 창원시 의창구 태복산로23번길 21(도계동),35.255128,128.639256
나라유치원,경상남도 창원시 성산구 대암로 80(대방동),35.2151382,128.7085075
진해유치원,경상남도 창원시 진해구 청안로 289(안골동. 진해유치원),35.0973648,128.8027804
샛별유치원,경상남도 창원시 진해구 충장로 319(경화동)샛별유치원,35.1537727,128.6869008
룸비니유치원,경상남도 창원시 성산구 대정로 77(남양동),35.2107921,128.7009957
뜰에유치원,경상남도 창원시 진해구 용원북로11번길 8(용원동.용원유아원),35.1040496,128.8152262
리라자연생태유치원,경상남도 창원시 의창구 북면 무릉산길113번길 15(북면),35.3333213,128.573752
리라유치원(창원),경상남도 창원시 성산구 원이대로878번길 12. 리라유치원 (가음동),35.2097106,128.6938153
