,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치,주소,위도,경도
65,약수터주유소,3,5,4,5,5,4.604,전북 전주시 완산구 춘향로 5319 (대성동),35.8015535,127.1664065
66,사랑주유소,5,5,1,5,5,3.96,전북 전주시 덕진구 번영로 477 (용정동),35.8802137,127.053357
67,성덕주유소,5,5,2,5,4,3.717,전북 전주시 덕진구 번영로 222 (성덕동),35.8688904,127.0456464
68,경기장주유소,2,4,1,5,1,1.709,전북 전주시 덕진구 온고을로 675 (장동),35.8560289,127.0561302
69,CJ대한통운㈜ 공단주유소,1,1,1,5,2,2.039,전북 전주시 덕진구 팔복로 167,35.8544657,127.0887863
70,역전셀프주유소,1,3,1,1,1,1.07,전북 전주시 덕진구  동부대로 748 (우아동3가),35.846833,127.1555889
71,팔복주유소,1,1,1,3,3,2.274,전북 전주시 덕진구 기린대로 714,35.8545934,127.1043366
72,만땅주유소,1,1,1,1,1,1,전북 전주시 덕진구 기린대로 509 (덕진동1가),35.8446227,127.1243542
73,빼어날수주유소,2,4,1,5,3,2.715,전북 전주시 덕진구 초포다리로 100 (호성동1가),35.8649602,127.1606307
74,(유)고덕물류 직영주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 건산로 201 (인후동1가),35.8340188,127.159147
75,(주)필오일싼3주유소,1,3,1,1,1,1.07,전라북도 전주시 완산구  천잠로 16,35.7926716,127.1097391
76,소망주유소,5,5,3,5,1,2.468,전북 전주시 완산구  춘향로 5265 (대성동),35.7930023,127.1749153
77,색장주유소,5,5,1,1,1,1.412,전북 전주시 완산구 춘향로 4860 (색장동),35.7774563,127.1990367
78,어은터널주유소,1,1,1,1,1,1,전북 전주시 덕진구 어은로 127 (진북동),35.8240879,127.1294805
79,고향주유소,1,5,1,1,1,1.14,전북 전주시 완산구 견훤로 87 (남노송동),35.8197738,127.1610978
80,그린주유소,1,1,1,1,3,2.006,전북 전주시 덕진구 온고을로 462 (여의동),35.8598796,127.0743409
81,행복주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 동부대로 641 (우아동3가),35.8501591,127.1601588
82,진영주유소,1,4,1,1,1,1.105,전북 전주시 완산구 안행로 13 (삼천동1가),35.8002583,127.1299839
83,안행주유소,1,1,1,1,1,1,전북 전주시 완산구 안행로 58 (효자동1가),35.8016528,127.1343766
84,낙원주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 동부대로 624 (우아동3가),35.8501591,127.1601588
85,풍천주유소,1,5,1,2,1,1.274,전북 전주시 완산구  구이로 2057 (평화동3가),35.7811532,127.1298592
86,룰루랄라주유소,1,3,1,1,1,1.07,전북 전주시 완산구 장승배기로 62,35.7920862,127.1197118
87,동전주주유소,1,5,1,1,1,1.14,전북 전주시 덕진구 전진로 14,35.8403074,127.1704499
88,에코플러스주유소,5,5,2,5,1,2.208,전북 전주시 덕진구 과학로 258 (전미동1가),35.8921051,127.1281827
89,목원주유소,1,5,1,1,1,1.14,전북 전주시 덕진구 전주천동로 390 (진북동),35.8287185,127.1299291
90,섬진주유소,5,5,1,5,5,3.96,전북 전주시 덕진구 삼례로 123 (반월동),35.8886544,127.0767341
91,장승배기주유소,1,5,1,1,1,1.14,전북 전주시 완산구 장승배기로 283,35.799559,127.142791
92,행복가득주유소,1,1,1,1,1,1,전북 전주시 완산구 장승배기로 270 (평화동1가),35.7968897,127.1398584
93,파크셀프주유소,1,5,1,1,1,1.14,전북 전주시 완산구 천잠로 517,35.8191447,127.0986127
94,서린2주유소,5,5,5,5,5,5,전북 전주시 완산구 선비로 1444 (용복동),35.7901744,127.0681497
95,전인주유소,1,1,1,5,5,3.548,전북 전주시 덕진구 혁신로 558 (여의동),35.8622528,127.0692544
96,기분조은주유소,2,2,1,5,5,3.651,전북 전주시 덕진구 기린대로 1090,35.8712345,127.0681295
97,평화셀프주유소,1,4,1,1,1,1.105,전북 전주시 완산구 모악로 4595 (평화동3가),35.7868646,127.1305746
98,한옥마을주유소,1,4,1,1,1,1.105,전북 전주시 완산구 기린대로 242 (서노송동),35.8252685,127.1458969
99,새하늘주유소,2,5,1,4,2,2.113,전북 전주시 완산구 쑥고개로 216 (삼천동3가),35.7979605,127.0898801
100,행복날개주유소,1,3,1,2,3,2.21,전북 전주시 덕진구 온고을로 256 (팔복동3가),35.8442937,127.0957541
101,신흥셀프주유소,1,4,1,1,1,1.105,전북 전주시 완산구 쑥고개로 369 (효자동2가),35.8038805,127.105278
102,샘물주유소,1,1,1,5,3,2.542,전북 전주시 덕진구 온고을로 441,35.8553018,127.0775156
103,(주)해뜨는여의동,1,2,1,5,4,3.08,전북 전주시 덕진구 기린대로 1036 (여의동),35.8566143,127.0693701
104,착한12주유소,3,5,1,5,3,2.818,전북 전주시 덕진구 과학로 198 (전미동1가),35.8865616,127.1294784
105,(주)대한민국만세주유소,2,1,1,5,1,1.604,전북 전주시 덕진구 혁신로 466  (장동),35.864542,127.0694015
106,유연로주유소,1,4,1,1,1,1.105,전북 전주시 완산구 유연로 59 (효자동3가),35.8243075,127.1066943
107,신도시주유소,1,1,1,1,1,1,전북 전주시 완산구 천잠로 411 (효자동3가),35.8229014,127.0964447
108,정동주유소,2,5,3,5,5,4.276,전북 전주시 완산구 계룡산길 146,35.7813649,127.1046742
109,삼남주유소,1,4,1,1,1,1.105,전북 전주시 완산구 천잠로 457 (효자동3가),35.8264845,127.0981792
110,고객사랑주유소,1,4,1,1,3,2.111,전북 전주시 덕진구 초포다리로 21,35.858264,127.1577462
111,광명주유소,5,5,4,5,5,4.74,전북 전주시 덕진구 삼례로 153 (화전동),35.89153,127.0766708
112,SK강변주유소,1,4,1,1,1,1.105,전북 전주시 완산구 강변로 212 (효자동1가),35.809063,127.1118433
113,(주)새론에너지,1,4,1,2,1,1.239,전북 전주시 덕진구 온고을로 259,35.8411641,127.0971209
114,서부대로주유소,1,3,1,2,3,2.21,전북 전주시 덕진구 온고을로 377 (팔복동3가),35.8442937,127.0957541
115,싼2주유소 주식회사,1,4,1,4,3,2.513,전북 전주시 덕진구  동부대로 1167 (송천동2가),35.8717114,127.1088868
116,지에스칼텍스(주)글로리주유소,1,4,1,1,1,1.105,전북 전주시 완산구 장승배기로 209,35.7969025,127.1353231
117,지에스칼텍스(주)고랑주유소,4,5,1,5,5,3.892,전북 전주시 덕진구 삼례로 72,35.8838613,127.0774354
118,거북이주유소 ㈜기센에너지 전주지점,4,5,1,5,5,3.892,전북 전주시 덕진구 삼례로 97,35.8862862,127.0768956
119,현대오일뱅크(주)직영 한일주유소,1,5,1,4,1,1.542,전북 전주시 완산구 콩쥐팥쥐로 1701 (효자동3가),35.8219614,127.0851286
120,상리주유소,1,2,1,3,3,2.309,전북 전주시 덕진구 상리2길 67,35.8502971,127.0999002
121,기린봉주유소,1,1,1,1,5,3.012,전북 전주시 덕진구 동부대로 189 (우아동1가),35.8207654,127.2016275
122,(유)그린피앤엘 시온주유소,1,5,1,1,1,1.14,전북 전주시 완산구 백제대로 286,35.8188047,127.1233045
