학교명,주소,위도,경도
보람유치원,울산광역시 북구 새장터6길 14(염포동),35.5344911,129.3912401
송정유치원,울산광역시 북구 상방로 81(화봉동),35.5901814,129.3672638
예지원유치원,울산광역시 북구 상방로 160. 얘지원유치원 (연암동. 벽산늘푸른아파트),35.5838455,129.3645199
양정현대유치원,울산광역시 북구 치전1길 39. 양정현대유치원 (양정동),35.5418232,129.3902131
이화제일유치원,울산광역시 북구 갓안2길 24(중산동),35.6666694,129.3421559
새싹유치원,울산광역시 북구 제내2길 24(신천동),35.6329037,129.3525473
호계비둘기유치원,울산광역시 북구 당수골길 12(호계동),35.6282958,129.3625817
리라유치원,울산광역시 북구 천곡길 122-12(천곡동),35.6405383,129.3313656
현대유리유치원,울산광역시 북구 매곡1로 13. 현대유리유치원 (매곡동.매곡현대아파트),35.6418384,129.3536026
명신유치원,울산광역시 북구 호계로 309-19(신천동),35.6330047,129.3508499
월성유치원,울산광역시 북구 화정2길 23. 월성유치원 (중산동),35.6594472,129.3421865
꿈동산유치원,울산광역시 북구 매곡로 183(매곡동),35.6485404,129.357962
미래유치원,울산광역시 북구 달래골길 46(천곡동.미래유치원),35.6397269,129.3237721
화봉유치원,울산광역시 북구 송내6길 8440-1 (화봉동. 화봉유치원),35.5897336,129.3641309
산새소리유치원,울산광역시 북구 신기3길 30-5. 산새소리유치원 (매곡동),35.6465045,129.3547135
하늘땅유치원,울산광역시 북구 관문길 240하늘땅유치원 (천곡동),35.6537251,129.3144393
예은유치원,울산광역시 중구 평동4길 9(유곡동),35.5590697,129.3051379
동화유치원,울산광역시 북구 동대17길 11(호계동. 동화유치원),35.6293954,129.3522142
큰사랑유치원,울산광역시 북구 제내2길 45-4큰사랑유치원 (신천동),35.6343393,129.3549638
은빛유치원,울산광역시 북구 명촌로 91은빛유치원,35.5475444,129.3761032
꿈샘유치원,울산광역시 중구 푸름길 24(복산동),35.5594423,129.3266545
예솔유치원,울산광역시 북구 명촌12길 34-10(명촌동),35.5557182,129.3528431
파랑새생태유치원,울산광역시 중구 학성공원5길 12. 파랑새생태유치원 (학성동),35.5521543,129.3401064
백련과학유치원,울산광역시 중구 성안로 214.  백련과학유치원 (성안동),35.5785397,129.3191354
연세유치원,울산광역시 북구 명촌1길 17-4(진장동),35.5590438,129.3599933
그림마을유치원,울산광역시 동구 남목18길 28. 그림마을유치원 (동부동),35.5433515,129.4277651
빛나몬테소리유치원,울산광역시 동구 남목19길 3(동부동. 빛나몬테소리스쿨어린이집),35.5439791,129.4285646
상상미술유치원,울산광역시 동구 월봉10나길 4(화정동. 상상미술학원),35.4936062,129.4198821
선경유치원,울산광역시 중구 우정3길 9. 104동 앞 선경유치원 (우정동.선경아파트1차),35.5590696,129.3091091
재능유치원,울산광역시 중구 신기1길 61. 재능유치원 (태화동),35.5683982,129.1195155
화봉초등학교병설유치원,울산광역시 북구 화산로 42(화봉동. 화봉초등학교),35.5957608,129.3673249
예일유치원,울산광역시 북구 관문길 137(천곡동),35.6468161,129.3230918
월드키즈유치원,울산광역시 중구 성안2길 27. 월드키즈유치원 (성안동),35.5731494,129.3175222
연세2유치원,울산광역시 북구 지당3길 16(송정동),35.6025627,129.355833
동그라미유치원,울산광역시 북구 아랫마을길 12. 동그라미유치원 (달천동),35.6302688,129.3155499
아리솔유치원,울산광역시 중구 종가5길 31. 아리솔유치원 (유곡동),35.5609992,129.2996581
명정초등학교병설유치원,울산광역시 중구 명난로 115. 명정초등학교 (태화동. 명정초등학교),35.55282,129.2892223
